Brand,Model,Body,Color,Fuel,Kilometers,Engine,Transmission,Price,Gov,Age_of_Car
Hyundai,Accent,Sedan,Gray,Benzine,75000,1500,Automatic,300.0,Cairo,1
Hyundai,Accent,Sedan,Other Color,Benzine,150000,1600,Automatic,200.0,Monufia,13
Hyundai,Accent,Sedan,Silver,Benzine,130000,1600,Automatic,185.0,Red Sea,7
Hyundai,Accent,Sedan,Green,Benzine,35000,1500,Manual,50.0,Giza,28
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,170000,1600,Automatic,185.0,Fayoum,10
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,110000,1600,Manual,130.0,Alexandria,13
Hyundai,Accent,Sedan,White,Benzine,65000,1500,Automatic,85.0,Qalyubia,16
Hyundai,Accent,Sedan,Red,Benzine,95000,1600,Automatic,245.0,Cairo,7
Hyundai,Accent,Sedan,Black,Benzine,130000,1600,Automatic,165.0,Cairo,11
Hyundai,Accent,Sedan,Black,Benzine,170000,1600,Automatic,145.0,Cairo,11
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,15000,1600,Automatic,140.0,Fayoum,13
Hyundai,Accent,Sedan,Gold,Benzine,200000,1500,Manual,50.0,Minya,24
Hyundai,Accent,Sedan,Gray,Benzine,95000,1600,Automatic,170.0,Cairo,11
Hyundai,Accent,Sedan,Other Color,Benzine,200000,1500,Manual,67.0,Cairo,22
Hyundai,Accent,Sedan,Other Color,Benzine,200000,1600,Automatic,145.0,Minya,11
Hyundai,Accent,Sedan,Burgundy,Benzine,65000,1600,Automatic,195.0,Cairo,6
Hyundai,Accent,Sedan,Red,Benzine,200000,1600,Manual,78.0,Giza,14
Hyundai,Accent,Sedan,Burgundy,Benzine,15000,1500,Manual,65.0,Monufia,24
Hyundai,Accent,Sedan,White,Benzine,110000,1600,Automatic,230.0,Cairo,7
Hyundai,Accent,Sedan,White,Natural Gas,65000,1500,Manual,60.0,Suez,21
Hyundai,Accent,Sedan,White,Natural Gas,95000,1500,Manual,52.0,Suez,17
Hyundai,Accent,Sedan,Silver,Benzine,150000,1600,Automatic,173.0,Cairo,10
Hyundai,Accent,Sedan,Black,Benzine,150000,1600,Manual,144.0,Cairo,11
Hyundai,Accent,Sedan,Black,Benzine,200000,1600,Manual,147.0,Alexandria,10
Hyundai,Accent,Sedan,Silver,Benzine,190000,1500,Manual,75.0,Cairo,24
Hyundai,Accent,Sedan,Other Color,Benzine,5000,1500,Manual,72.0,Giza,23
Hyundai,Accent,Sedan,Other Color,Benzine,200000,1500,Manual,72.0,Kafr al-Sheikh,23
Hyundai,Accent,Sedan,Other Color,Benzine,5000,1600,Manual,10.0,Qena,12
Hyundai,Accent,Sedan,Gold,Benzine,190000,1600,Manual,140.0,Alexandria,12
Hyundai,Accent,Sedan,Green,Benzine,200000,1500,Manual,65.0,Ismailia,16
Hyundai,Accent,Sedan,Black,Benzine,190000,1600,Manual,155.0,Cairo,11
Hyundai,Accent,Sedan,Other Color,Benzine,130000,1500,Automatic,55.0,Port Said,26
Hyundai,Accent,Sedan,White,Benzine,5000,1500,Automatic,75.0,Giza,16
Hyundai,Accent,Sedan,Brown,Benzine,170000,1600,Automatic,200.0,Qalyubia,7
Hyundai,Accent,Sedan,Red,Benzine,15000,1600,Automatic,295.0,Minya,1
Hyundai,Accent,Sedan,Other Color,Benzine,15000,1600,Manual,72.0,Dakahlia,22
Hyundai,Accent,Sedan,Other Color,Benzine,15000,1600,Automatic,158.0,Dakahlia,11
Hyundai,Accent,Sedan,Gray,Benzine,110000,1600,Manual,155.0,Giza,9
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,130000,1600,Automatic,245.0,Cairo,6
Hyundai,Accent,Sedan,White,Benzine,200000,1500,Manual,25.0,Sharqia,24
Hyundai,Accent,Sedan,Black,Benzine,200000,1600,Manual,110.0,Giza,11
Hyundai,Accent,Sedan,Black,Benzine,85000,1600,Automatic,250.0,Dakahlia,3
Hyundai,Accent,Sedan,Green,Benzine,110000,1500,Manual,65.0,Luxor,22
Hyundai,Accent,Sedan,Red,Benzine,25000,1500,Manual,60.0,Gharbia,22
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,25000,1600,Automatic,300.0,Cairo,2
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,170000,1600,Manual,128.0,Alexandria,14
Hyundai,Accent,Sedan,Other Color,Benzine,170000,1600,Manual,70.0,Monufia,21
Hyundai,Accent,Sedan,Black,Benzine,200000,1600,Automatic,175.0,Gharbia,10
Hyundai,Accent,Sedan,Burgundy,Benzine,150000,1600,Automatic,250.0,Giza,3
Hyundai,Accent,Sedan,Other Color,Benzine,5000,1600,Manual,135.0,Cairo,12
Hyundai,Accent,Sedan,Black,Benzine,110000,1600,Automatic,195.0,Qalyubia,7
Hyundai,Accent,Sedan,Green,Benzine,25000,1500,Manual,65.0,Cairo,22
Hyundai,Accent,Sedan,Other Color,Benzine,150000,1600,Automatic,153.0,Cairo,12
Hyundai,Accent,Sedan,Black,Benzine,200000,1500,Manual,42.0,Cairo,25
Hyundai,Accent,Sedan,Yellow,Benzine,95000,1600,Manual,57.0,Alexandria,24
Hyundai,Accent,Sedan,Silver,Benzine,110000,1500,Manual,68.0,Sharqia,23
Hyundai,Accent,Sedan,Other Color,Benzine,15000,1500,Manual,75.0,Giza,23
Hyundai,Accent,Sedan,Other Color,Benzine,200000,1600,Automatic,175.0,Ismailia,10
Hyundai,Accent,Sedan,White,Benzine,200000,1500,Automatic,65.0,Giza,22
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,5000,1600,Manual,120.0,Beni Suef,11
Hyundai,Accent,Sedan,Red,Benzine,25000,1600,Manual,130.0,South Sinai,14
Hyundai,Accent,Sedan,Silver,Benzine,150000,1500,Automatic,90.0,Cairo,21
Hyundai,Accent,Sedan,Other Color,Benzine,5000,1600,Automatic,29.5,Giza,1
Hyundai,Accent,Sedan,Silver,Benzine,5000,1500,Manual,69.0,Fayoum,23
Hyundai,Accent,Sedan,Black,Benzine,85000,1600,Automatic,223.0,Alexandria,6
Hyundai,Accent,Sedan,Gray,Benzine,150000,1600,Automatic,180.0,Cairo,8
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,5000,1600,Manual,135.0,Asyut,12
Hyundai,Accent,Sedan,White,Benzine,25000,1500,Manual,60.0,Cairo,22
Hyundai,Accent,Sedan,Other Color,Benzine,130000,1600,Automatic,140.0,Alexandria,10
